Packet_Size,Protocol,Src_Port,Dst_Port,TCP_Flags,Inter_Arrival_Time
92,17,50640,443,0,0.0010008811950683594
92,17,50640,443,0,0.0029938220977783203
94,17,50640,443,0,0.028006553649902344
96,17,50640,443,0,0.0009999275207519531
97,17,50640,443,0,0.0020003318786621094
95,17,50640,443,0,0.003998756408691406
95,17,50640,443,0,0.0019965171813964844
98,17,50640,443,0,0.002012014389038086
93,17,50640,443,0,0.005990505218505859
420,6,62438,443,24,0.0009970664978027344
85,17,443,50640,0,0.005002737045288086
85,17,443,50640,0,0.0010025501251220703
1292,17,50640,443,0,0.0019941329956054688
542,17,50640,443,0,0.001999378204345703
94,17,50640,443,0,0.0009999275207519531
96,17,50640,443,0,0.0009996891021728516
71,17,63888,443,0,0.0009992122650146484
71,17,63888,443,0,0.001008749008178711
71,17,63888,443,0,0.0009989738464355469
83,17,51986,53,0,0.0010044574737548828
1454,6,443,62574,16,0.0009889602661132812
1454,6,443,62574,24,0.0
54,6,62574,443,16,0.0010006427764892578
1454,6,443,62574,16,0.0010018348693847656
1454,6,443,62574,24,0.0010001659393310547
54,6,62574,443,16,0.0009992122650146484
1454,6,443,62574,16,0.0
1271,6,443,62574,24,0.0014081001281738281
54,6,62574,443,16,0.0006780624389648438
1454,6,443,62574,16,0.0
1454,6,443,62574,24,0.0010061264038085938
54,6,62574,443,16,0.0010004043579101562
1454,6,443,62574,16,0.0010004043579101562
646,6,443,62574,24,0.00099945068359375
54,6,62574,443,16,0.0009989738464355469
85,17,443,50640,0,0.0010004043579101562
1494,17,443,50640,0,0.0010004043579101562
94,17,50640,443,0,0.0
86,17,443,50640,0,0.0009999275207519531
96,17,50640,443,0,0.0009999275207519531
1494,17,443,50640,0,0.0
95,17,50640,443,0,0.0010006427764892578
118,17,53,51986,0,0.0012326240539550781
1292,17,60408,443,0,0.0
1292,17,60408,443,0,0.0
85,17,443,50640,0,0.0
65,17,443,63888,0,0.015631675720214844
85,17,443,50640,0,0.023746728897094727
66,17,443,63888,0,0.0
82,17,443,60408,0,0.02419281005859375
1292,17,443,60408,0,0.015610933303833008
1292,17,443,60408,0,0.0
1292,17,443,60408,0,0.0
1292,17,60408,443,0,0.0
1292,17,443,60408,0,0.03717780113220215
1292,17,443,60408,0,0.0010013580322265625
81,17,60408,443,0,0.0010046958923339844
1292,17,443,60408,0,0.0
82,17,60408,443,0,0.002084493637084961
71,17,63888,443,0,0.027994871139526367
71,17,63888,443,0,0.0009210109710693359
79,17,60408,443,0,0.0
894,17,443,60408,0,0.001007080078125
82,17,60408,443,0,0.0010530948638916016
66,6,62584,443,2,0.0010135173797607422
125,17,60408,443,0,0.001069784164428711
114,17,60408,443,0,0.002608776092529297
789,17,60408,443,0,0.000993967056274414
